Ticker,Date,Price,Momentum_6m,Volatility_30d,Avg_Volume_30d,Treated,Match_ID
MMM,2024-04-01,90.66775512695312,0.2402754153574933,0.01958290110305584,7146274.533333333,1,0
BKR,2024-04-01,32.14750289916992,-0.04093406127556498,0.011295398047115459,8480036.666666666,0,0
KIM,2024-04-01,17.61423110961914,0.11661388353937241,0.013671910765593756,5307860.0,0,0
LYB,2024-04-01,88.9620361328125,0.10598836365029785,0.010801469438948512,2325833.3333333335,0,0
EG,2024-04-01,387.435791015625,0.0803018838639582,0.01176435521269486,351906.6666666667,0,0
DUK,2024-04-01,90.09026336669922,0.1135793692976299,0.009746881072233815,3160940.0,0,0
ZBRA,2024-04-01,301.0,0.2725658544515499,0.017297990368805954,344720.0,0,0
LUV,2024-04-01,28.179580688476562,0.09031288068421706,0.029624552121954358,8364076.666666667,0,0
MTCH,2024-04-01,35.08500671386719,-0.08334398923771924,0.017159073762273564,6009666.666666667,0,0
DVA,2024-04-01,137.83999633789062,0.4581614103234193,0.017528622633901515,881046.6666666666,0,0
UPS,2024-04-01,133.2480926513672,-0.031092418140648337,0.018436099441689068,4499790.0,0,0
AOS,2010-11-16,7.482707500457764,0.2303351595308749,0.014264350194983037,1414553.3333333333,1,1
COO,2010-11-16,12.222930908203125,0.4011835313155643,0.010516198615750297,1466373.3333333333,0,1
MPWR,2010-11-16,13.369560241699219,-0.19306423194899247,0.02777826343013944,662416.6666666666,0,1
CAG,2010-11-16,9.852060317993164,-0.11741489001426064,0.00900108315821552,5064917.566666666,0,1
TDY,2010-11-16,39.459999084472656,0.0063759246579273565,0.013834102581267674,114426.66666666667,0,1
YUM,2010-11-16,26.567466735839844,0.2560354881999065,0.012668662209309066,4604474.366666666,0,1
XEL,2010-11-16,14.169389724731445,0.16755467578014804,0.006274141166162141,2403880.0,0,1
TGT,2010-11-16,35.0230598449707,0.024163155120628943,0.008923459863206983,5344330.0,0,1
GOOG,2010-11-16,14.439691543579102,0.22885835365385998,0.022776852191368283,140194722.03333333,0,1
HAL,2010-11-16,27.118885040283203,0.34480326511031456,0.027724267778228198,21178050.0,0,1
AAPL,2010-11-16,9.044998168945312,0.2684638147087546,0.01358934228812547,549566360.0,0,1
AOS,2013-05-16,16.31258201599121,0.3590624532958353,0.01651311472895326,1802293.3333333333,1,2
ROL,2013-05-16,6.095694065093994,0.12935627313402542,0.013437091433913523,439560.26666666666,0,2
MS,2013-05-16,17.972858428955078,0.5345877125061367,0.020032069734247104,19535250.0,0,2
ADBE,2013-05-16,44.560001373291016,0.38213396567695557,0.013369329077483744,3635916.6666666665,0,2
MTCH,2013-05-16,13.528884887695312,0.1848838040662395,0.015976169539859867,4107951.033333333,0,2
BLDR,2013-05-16,6.960000038146973,0.4935622888511786,0.02859522292429609,444100.0,0,2
FTNT,2013-05-16,3.700000047683716,0.02493079091502337,0.028622803885124382,17840183.333333332,0,2
AON,2013-05-16,58.66288375854492,0.191619259537527,0.013022360837805723,1765016.6666666667,0,2
TYL,2013-05-16,68.02999877929688,0.47378680684962937,0.020412300401275094,167353.33333333334,0,2
KR,2013-05-16,13.867624282836914,0.447049438834213,0.010154546375313779,7477793.333333333,0,2
ORLY,2013-05-16,7.380667209625244,0.2508190974477065,0.01411472392895731,12742600.0,0,2
AOS,2016-10-06,43.97737503051758,0.35297086849040604,0.015673891593148723,1096926.6666666667,1,3
FFIV,2016-10-06,124.94000244140625,0.2843339227919066,0.01115767635862799,541830.0,0,3
ADBE,2016-10-06,108.55999755859375,0.16793976463542815,0.015765446502213842,2644776.6666666665,0,3
DTE,2016-10-06,58.29729080200195,0.05794351440176815,0.013397791890618042,1591130.5,0,3
